i1	1/d(V(G))
4.660010000000048e-004	1.060339e-002
4.670010000000048e-004	1.062522e-002
4.680010000000048e-004	1.064713e-002
4.690010000000049e-004	1.066914e-002
4.700010000000049e-004	1.068953e-002
4.710010000000049e-004	1.071171e-002
4.720010000000049e-004	1.073398e-002
4.730010000000050e-004	1.075463e-002
4.740010000000050e-004	1.077535e-002
4.750010000000050e-004	1.079615e-002
4.760010000000050e-004	1.081878e-002
4.770010000000051e-004	1.083975e-002
4.780010000000051e-004	1.086080e-002
4.790010000000051e-004	1.088370e-002
4.800010000000051e-004	1.090492e-002
4.810010000000052e-004	1.092444e-002
4.820010000000052e-004	1.094583e-002
4.830010000000052e-004	1.096909e-002
4.840010000000052e-004	1.099064e-002
4.850010000000053e-004	1.101048e-002
4.860010000000053e-004	1.103220e-002
4.870010000000053e-004	1.105400e-002
4.880010000000053e-004	1.107407e-002
4.890010000000053e-004	1.109788e-002
4.900010000000053e-004	1.111810e-002
4.910010000000053e-004	1.113840e-002
4.920010000000054e-004	1.116063e-002
4.930010000000054e-004	1.118108e-002
4.940010000000054e-004	1.120348e-002
4.950010000000054e-004	1.122597e-002
4.960010000000055e-004	1.124667e-002
4.970010000000055e-004	1.126744e-002
4.980010000000055e-004	1.128829e-002
4.990010000000055e-004	1.130921e-002
5.000010000000056e-004	1.133213e-002
5.010010000000056e-004	1.135322e-002
5.020010000000056e-004	1.137246e-002
5.030010000000056e-004	1.139563e-002
5.040010000000057e-004	1.141696e-002
5.050010000000057e-004	1.143641e-002
5.060010000000057e-004	1.145985e-002
5.070010000000057e-004	1.148141e-002
5.080010000000058e-004	1.150109e-002
5.090010000000058e-004	1.152281e-002
5.100010000000058e-004	1.154462e-002
5.110010000000058e-004	1.156451e-002
5.120010000000059e-004	1.158648e-002
5.130010000000059e-004	1.160852e-002
5.140010000000059e-004	1.163065e-002
5.150010000000059e-004	1.165084e-002
5.160010000000059e-004	1.167111e-002
5.170010000000060e-004	1.169348e-002
5.180010000000060e-004	1.171389e-002
5.190010000000060e-004	1.173437e-002
5.200010000000060e-004	1.175698e-002
5.210010000000061e-004	1.177968e-002
5.220010000000061e-004	1.179832e-002
5.230010000000061e-004	1.181910e-002
5.240010000000061e-004	1.184204e-002
5.250010000000062e-004	1.186298e-002
5.260010000000062e-004	1.188399e-002
5.270010000000062e-004	1.190507e-002
5.280010000000062e-004	1.192622e-002
5.290010000000063e-004	1.194746e-002
5.300010000000063e-004	1.196876e-002
5.310010000000063e-004	1.199015e-002
5.320010000000063e-004	1.201161e-002
5.330010000000064e-004	1.203315e-002
5.340010000000064e-004	1.205476e-002
5.350010000000064e-004	1.207428e-002
5.360010000000064e-004	1.209605e-002
5.370010000000065e-004	1.211789e-002
5.380010000000065e-004	1.213761e-002
5.390010000000065e-004	1.215961e-002
5.400010000000065e-004	1.218168e-002
5.410010000000066e-004	1.220161e-002
5.420010000000066e-004	1.222161e-002
5.430010000000066e-004	1.224391e-002
5.440010000000066e-004	1.226629e-002
5.450010000000067e-004	1.228650e-002
5.460010000000067e-004	1.230678e-002
5.470010000000067e-004	1.232712e-002
5.480010000000067e-004	1.234981e-002
5.490010000000068e-004	1.237258e-002
5.500010000000068e-004	1.239085e-002
5.510010000000068e-004	1.241148e-002
5.520010000000068e-004	1.243448e-002
5.530010000000068e-004	1.245525e-002
5.540010000000069e-004	1.247609e-002
5.550010000000069e-004	1.249700e-002
5.560010000000069e-004	1.251798e-002
5.570010000000069e-004	1.254137e-002
5.580010000000070e-004	1.256015e-002
5.590010000000070e-004	1.258134e-002
5.600010000000070e-004	1.260260e-002
5.610010000000070e-004	1.262394e-002
5.620010000000071e-004	1.264535e-002
5.630010000000071e-004	1.266444e-002
5.640010000000071e-004	1.268838e-002
5.650010000000071e-004	1.270761e-002
5.660010000000072e-004	1.272930e-002
5.670010000000072e-004	1.275107e-002
5.680010000000072e-004	1.277048e-002
5.690010000000072e-004	1.279239e-002
5.700010000000073e-004	1.281193e-002
5.710010000000073e-004	1.283398e-002
5.720010000000073e-004	1.285610e-002
5.730010000000073e-004	1.287584e-002
5.740010000000074e-004	1.289811e-002
5.750010000000074e-004	1.291797e-002
5.760010000000074e-004	1.293790e-002
5.770010000000074e-004	1.296038e-002
5.780010000000075e-004	1.298044e-002
5.790010000000075e-004	1.300307e-002
5.800010000000075e-004	1.302326e-002
5.810010000000075e-004	1.304351e-002
5.820010000000076e-004	1.306637e-002
5.830010000000076e-004	1.308675e-002
5.840010000000076e-004	1.310720e-002
5.850010000000076e-004	1.312771e-002
5.860010000000077e-004	1.314829e-002
5.870010000000077e-004	1.316893e-002
5.880010000000077e-004	1.319223e-002
5.890010000000077e-004	1.321301e-002
5.900010000000077e-004	1.323124e-002
5.910010000000078e-004	1.325476e-002
5.920010000000078e-004	1.327574e-002
5.930010000000078e-004	1.329415e-002
5.940010000000078e-004	1.331525e-002
5.950010000000079e-004	1.333642e-002
5.960010000000079e-004	1.336032e-002
5.970010000000079e-004	1.338163e-002
5.980010000000079e-004	1.340033e-002
5.990010000000080e-004	1.341909e-002
6.000010000000080e-004	1.344059e-002
6.010010000000080e-004	1.346486e-002
6.020010000000080e-004	1.348380e-002
6.030010000000081e-004	1.350279e-002
6.040010000000081e-004	1.352456e-002
6.050010000000081e-004	1.354640e-002
6.060010000000081e-004	1.356831e-002
6.070010000000082e-004	1.359029e-002
6.080010000000082e-004	1.360959e-002
6.090010000000082e-004	1.362893e-002
6.100010000000082e-004	1.365111e-002
6.110010000000083e-004	1.367058e-002
6.120010000000083e-004	1.369289e-002
6.130010000000083e-004	1.371528e-002
6.140010000000083e-004	1.373493e-002
6.150010000000084e-004	1.375463e-002
6.160010000000084e-004	1.377440e-002
6.170010000000084e-004	1.379705e-002
6.180010000000084e-004	1.381694e-002
6.190010000000085e-004	1.383688e-002
6.200010000000085e-004	1.385974e-002
6.210010000000085e-004	1.388268e-002
6.220010000000085e-004	1.389993e-002
6.230010000000086e-004	1.392011e-002
6.240010000000086e-004	1.394325e-002
6.250010000000086e-004	1.396356e-002
6.260010000000086e-004	1.398393e-002
6.270010000000086e-004	1.400435e-002
6.280010000000087e-004	1.402777e-002
6.290010000000087e-004	1.404833e-002
6.300010000000087e-004	1.406600e-002
6.310010000000087e-004	1.408666e-002
6.320010000000088e-004	1.410739e-002
6.330010000000088e-004	1.412818e-002
6.340010000000088e-004	1.415202e-002
6.350010000000088e-004	1.417294e-002
6.360010000000089e-004	1.419092e-002
6.370010000000089e-004	1.421196e-002
6.380010000000089e-004	1.423306e-002
6.390010000000089e-004	1.425422e-002
6.400010000000090e-004	1.427544e-002
6.410010000000090e-004	1.429673e-002
6.420010000000090e-004	1.431808e-002
6.430010000000090e-004	1.433644e-002
6.440010000000091e-004	1.435791e-002
6.450010000000091e-004	1.437944e-002
6.460010000000091e-004	1.439795e-002
6.470010000000091e-004	1.441961e-002
6.480010000000092e-004	1.444133e-002
6.490010000000092e-004	1.446000e-002
6.500010000000092e-004	1.448184e-002
6.510010000000092e-004	1.450375e-002
6.520010000000093e-004	1.452258e-002
6.530010000000093e-004	1.454462e-002
6.540010000000093e-004	1.456672e-002
6.550010000000093e-004	1.458571e-002
6.560010000000094e-004	1.460476e-002
6.570010000000094e-004	1.462704e-002
6.580010000000094e-004	1.464619e-002
6.590010000000094e-004	1.466540e-002
6.600010000000094e-004	1.469108e-002
6.610010000000095e-004	1.471040e-002
6.620010000000095e-004	1.472978e-002
6.630010000000095e-004	1.475244e-002
6.640010000000095e-004	1.477193e-002
6.650010000000096e-004	1.479146e-002
6.660010000000096e-004	1.481105e-002
6.670010000000096e-004	1.483397e-002
6.680010000000096e-004	1.485367e-002
6.690010000000097e-004	1.487342e-002
6.700010000000097e-004	1.489653e-002
6.710010000000097e-004	1.491640e-002
6.720010000000097e-004	1.493632e-002
6.730010000000098e-004	1.495629e-002
6.740010000000098e-004	1.497631e-002
6.750010000000098e-004	1.499975e-002
6.760010000000098e-004	1.501989e-002
6.770010000000099e-004	1.504009e-002
6.780010000000099e-004	1.506034e-002
6.790010000000099e-004	1.508064e-002
6.800010000000099e-004	1.510100e-002
6.810010000000100e-004	1.512142e-002
6.820010000000100e-004	1.514189e-002
6.830010000000100e-004	1.516242e-002
6.840010000000100e-004	1.518644e-002
6.850010000000101e-004	1.520364e-002
